سورہ نمبر,فعل (Verb),معنی (Meaning),حروف اصلی (Root Letters),مادہ/اصل کے مختلف اردو معانی,اردو میں مستعمل لفظ/جملے,عربی مثال,ترجمہ (مثال کا),صرفی و نحوی وضاحت
3,يُنَادِى,پکارتا ہے۔ تھا,ندي,ندا، صدا، آواز,پکارنا، نداء کرنا، آواز دینا,هو ينادي صديقه,وہ اپنے دوست کو پکارتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
3,تُخْلِفُ,تو خلاف کرے گا,خلف,جانشینی، بعد میں آنے والا، عقب میں چھوڑنا,خلاف کرنا، مخالفت کرنا، تخلیف کرنا,أنت تخلف القوانين,تو قوانین کی خلاف ورزی کرے گا,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مرفوع
3,أُضِيعُ,میں ضائع کروں گا,ضيع,ضائع کرنا& بے کار,ضائع کرنا، برباد کرنا، گم کرنا,أنا أضيع وقتي,میں اپنا وقت ضائع کروں گا,فعل مضارع، معروف، صیغہ اول واحد، مرفوع
3,تَجْرِى,بہتی ہیں,جري,بہنا& چلنا,بہنا، روانہ ہونا، گزرنا,تَجْرِى الأنهار في الأرض,دریا زمین میں بہتے ہیں,فعل مضارع، معروف، مرفوع
3,تَجْرِى,بہتی ہیں,جري,بہنا& چلنا,بہنا، روانہ ہونا، گزرنا,تَجْرِى الأنهار في الأرض,دریا زمین میں بہتے ہیں,فعل مضارع، معروف، مرفوع
3,يُؤْمِنُ,ایمان رکھتا ہے,أمن,امن، سلامتی، امان,ایمان رکھنا، ایمان لانا، یقین کرنا,يؤمن الرجل بالله,وہ شخص اللہ پر ایمان رکھتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
3,أُنزِلَ,نازل کیا گیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نزول، اترنا، نازل ہونا,القرآن أُنزِلَ في ليلة القدر,قرآن شب قدر میں نازل کیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
3,أُنزِلَ,نازل کیا گیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نزول، اترنا، نازل ہونا,القرآن أُنزِلَ في ليلة القدر,قرآن شب قدر میں نازل کیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,طَابَ,پسند آئیں,طيب,پاکیزہ، خالص، مہکتا ہوا، اچھی خوشبو دار,پسند کرنا، خوشبو دار ہونا، طیبت,هو طاب الطعام,کھانا اسے پسند آیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,مَلَكَتْ,مالک ہوئے,ملك,مالک، حاکم، سربراہ,مالک بننا، حاکم بننا، سربراہ ہونا,هي ملكت الأرض,وہ زمین کی مالک ہو گئی,فعل ماضی، معروف
4,جَعَلَ,بنایا,جعل,بنانا، تشکیل دینا، ڈالنا,بنانا، تشکیل دینا، مواد کو ترتیب دینا,جَعَلَ الله الإنسان من طين,اللہ نے انسان کو مٹی سے بنایا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَكَ,چھوڑ جائیں,ترك,ترک کرنا، چھوڑنا، چھوڑ دینا,چھوڑنا، ترک کرنا، باز آنا,هو ترك العادة السيئة,وہ بری عادت چھوڑ دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَكَ,چھوڑ جائیں,ترك,ترک کرنا، چھوڑنا، چھوڑ دینا,چھوڑنا، ترک کرنا، باز آنا,هو ترك العادة السيئة,وہ بری عادت چھوڑ دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,قَلَّ,کم ہو۔ قلیل ہو,قلل,کمی، تخفیف، تھوڑی مقدار,کم کرنا، قلیل کرنا، تخفیف کرنا,هو قل الطعام,کھانا کم ہو گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَثُرَ,زیادہ ہو۔ کثرت سے ہو,كثر,بہت، زیادہ، مکثر,بڑھانا، زیادہ کرنا، کثرت پیدا کرنا,هو كثر العمل,کام زیادہ ہو گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,حَضَرَ,حاضر ہوں,حضر,موجود، حاضر، شریک,حاضر ہونا، موجود ہونا، آنا,حضر الرجل إلى المدينة,وہ آدمی شہر میں آ گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَكَ,اس نے چھوڑا,ترك,ترک کرنا، چھوڑنا، چھوڑ دینا,چھوڑنا، ترک کرنا، باز آنا,هو ترك العادة السيئة,وہ بری عادت چھوڑ دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَتْ,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كانت السيارة في الكراج,کار گیراج میں تھی,فعل ماضی، معروف
4,تَرَكَ,اس نے چھوڑا,ترك,ترک کرنا، چھوڑنا، چھوڑ دینا,چھوڑنا، ترک کرنا، باز آنا,هو ترك العادة السيئة,وہ بری عادت چھوڑ دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَكُن,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، بستی بنانا,هل يكون موجودا؟,کیا وہ موجود ہوتا ہے؟,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,كَانَ,ہوں,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يُوصِى,وصیت کر جائے,وصي,وصیت کرنے والا، میراث چھوڑنے والا,وصیت کرنا، ہدایت دینا، نصیحت کرنا,هو يوصي ابنه,وہ اپنے بیٹے کو وصیت کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَكَ,چھوڑا,ترك,ترک کرنا، چھوڑنا، چھوڑ دینا,چھوڑنا، ترک کرنا، باز آنا,هو ترك العادة السيئة,وہ بری عادت چھوڑ دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَكُن,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، بستی بنانا,هل يكون موجودا؟,کیا وہ موجود ہوتا ہے؟,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَكُن,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، بستی بنانا,هل يكون موجودا؟,کیا وہ موجود ہوتا ہے؟,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يُورَثُ,جس کی میراث لی جاتی ہے,ورث,ورثت، میراث، وراثت,میراث میں ملنا، وراثت میں آنا، جائیداد حاصل کرنا,يورث الأموال,دولت کی میراث لی جاتی ہے,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، مرفوع
4,يُوصَىٰ,وصیت کی جائے,وصي,وصیت کرنے والا، میراث چھوڑنے والا,وصیت کی جانا، ہدایت کی جانا، نصیحت کی جانا,يوصى له,اس کیلئے وصیت کی جاتی ہے,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، مرفوع
4,يُطِعِ,اطاعت کرے گا,طوع,طاعت، اطاعت، فرمانبرداری، تابعداری,اطاعت کرنا، فرمانبرداری کرنا، تابعداری کرنا,هو يطيع القوانين,وہ قوانین کی اطاعت کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,تَجْرِى,بہتی ہیں,جري,بہنا& چلنا,بہنا، روانہ ہونا، گزرنا,تَجْرِى الأنهار في الأرض,دریا زمین میں بہتے ہیں,فعل مضارع، معروف، مرفوع
4,يَعْصِ,نافرمانی کرے گا,عصي,نافرمانی، سرکشی، باغاوت,نافرمانی کرنا، سرکشی کرنا، عصیان کرنا,هو يعصي القوانين,وہ قوانین کی نافرمانی کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,يَجْعَلَ,بنا دے,جعل,بنانا، تشکیل دینا، ڈالنا,رکھنا، تعین کرنا، مقرر کرنا,إنه يجعل الشمس ضياء,وہ سورج کو روشنی رکھتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَتُوبُ,مہربان ہوگا,توب,توبہ کرنے والا، معافی مانگنے والا، لوٹ کر آنے والا,توبہ کرنا، ندامت کرنا، رجوع کرنا,هو يتوب إلى الله,وہ اللہ کی طرف توبہ کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,حَضَرَ,حاضر ہوتی ہے,حضر,موجود، حاضر، شریک,حاضر ہونا، موجود ہونا، آنا,حضر الرجل إلى المدينة,وہ آدمی شہر میں آ گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,قَالَ,وہ کہتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، بولنا,هو قال الحق,وہ نے سچ بولا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَحِلُّ,حلال,حلل,حل کرنا، حلال قرار دینا، ٹوٹنا,حل کرنا، حلال ٹھہرانا، اجازت دینا,الله يَحِلُّ الطيبات,اللہ نیکیوں کو حلال ٹھہراتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,أَفْضَىٰ,پہنچ چکا,فضو,خالی کرنا& صفا کرنا,پہنچنا، رسائی حاصل کرنا، کوچ کرنا,هو أفضى إلى المدينة,وہ شہر پہنچ چکا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,نَكَحَ,نکاح کرچکے,نكح,نکاح، شادی، عقد,شادی کرنا، نکاح کرنا، بیاہنا,هو نكح الفتاة,وہ لڑکی سے شادی کرچکا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,سَلَفَ,گزر چکا,سلف,قرض& ادھار,سابقہ، گزشتہ، پچھلا,سلف الزمان,وقت گزر چکا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,وہ ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,حُرِّمَتْ,حرام کردی گئیں,حرم,حرمت، پابندی، منع,حرام کرنا، منع کرنا، بند کرنا,الخمر حرمت,شراب حرام کردی گئی ہے,فعل ماضی، مجہول
4,سَلَفَ,گزر چکا,سلف,قرض& ادھار,سابقہ، گزشتہ، پچھلا,سلف الزمان,وقت گزر چکا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,مَلَكَتْ,مالک ہوئے,ملك,مالک، حاکم، سربراہ,مالک بننا، حاکم بننا، سربراہ ہونا,هي ملكت الأرض,وہ زمین کی مالک ہو گئی,فعل ماضی، معروف
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَسْتَطِعْ,استطاعت رکھتا ہو,طوع,طاعت، اطاعت، فرمانبرداری، تابعداری,استطاعت رکھنا، قابلیت ہونا، صلاحیت ہونا,هل يستطيع العمل؟,کیا وہ کام کرنے کی استطاعت رکھتا ہے؟,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,يَنكِحَ,نکاح کرے,نكح,نکاح، شادی، عقد,نکاح کرنا، شادی کرنا، بیاہنا,هل ينكح الفتاة؟,کیا وہ لڑکی سے نکاح کرے گا؟,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
4,مَلَكَتْ,مالک ہوئے,ملك,مالک، حاکم، سربراہ,مالک بننا، حاکم بننا، سربراہ ہونا,هي ملكت الأرض,وہ زمین کی مالک ہو گئی,فعل ماضی، معروف
4,خَشِىَ,ڈرے,خشي,خوف، ڈر، بیم,ڈرنا، خوفزدہ ہونا، خوف کھانا,هو خشي الظلام,وہ اندھیرے سے ڈر گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يُرِيدُ,چاہتا ہے,رود,چاہنا، خواہش,چاہنا، ارادہ کرنا، خواہش,هو يريد الذهاب إلى المدرسة,وہ سکول جانا چاہتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,يُرِيدُ,چاہتا ہے,رود,چاہنا، خواہش,چاہنا، ارادہ کرنا، خواہش,هو يريد الذهاب إلى المدرسة,وہ سکول جانا چاہتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,يَتُوبَ,مہربان ہو,توب,توبہ کرنے والا، معافی مانگنے والا، لوٹ کر آنے والا,معاف کرنا، توبہ کرنا، رحم کرنا,هو يتوب على خطاياه,وہ اپنی خطاؤں پر توبہ کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
4,يُرِيدُ,چاہتا ہے,رود,چاہنا، خواہش,چاہنا، ارادہ کرنا، خواہش,هو يريد الذهاب إلى المدرسة,وہ سکول جانا چاہتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,يُخَفِّفَ,ہلکا کردے,خفف,رعایت، کمی، آسانی,ہلکا کرنا، خفیف کرنا، کم کرنا,هو يخفف العبء عنهم,وہ ان کا بوج ہلکا کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، منصوب
4,تَكُونَ,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا,تكون السماء زرقاء,آسمان نیلا ہوتا ہے,فعل مضارع، معروف، منصوب
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَفْعَلْ,کرے گا,فعل,کام، عمل، کردار,کرنا، عمل کرنا، انجام دینا,الطالب يَفْعَلْ الواجبات,طالب واجبات کو کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,نُكَفِّرْ,ہم دور  کردیں گے,كفر,کفر کرنا، انکار کرنا، مذہب سے انحراف,کفر کرنا، نفی کرنا، انکار کرنا,نحن نكفر الذنوب,ہم گناہوں کو دور کر دیں گے,فعل مضارع، معروف، صیغہ اول جمع، مجزوم
4,فَضَّلَ,فضیلت دی,فضل,فضیلت، بہتری، مہربانی,فضیلت دینا، بہتری دینا، ترجیح دینا,هو فضله على الآخرين,اس نے دوسروں پر فضیلت دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَكَ,چھوڑ جائیں,ترك,ترک کرنا، چھوڑنا، چھوڑ دینا,چھوڑنا، ترک کرنا، باز آنا,هو ترك العادة السيئة,وہ بری عادت چھوڑ دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,عَقَدَتْ,گرہ باندھی,عقد,تعقد، نکاح، میثاق، مدت، قلید,عقد باندھنا، معاہدہ کرنا، شادی کرنا,هي عقدت العقد معه,وہ اس کے ساتھ گرہ باندھ گئی,فعل ماضی، معروف
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,فَضَّلَ,فضیلت دی,فضل,فضیلت، بہتری، مہربانی,فضیلت دینا، بہتری دینا، ترجیح دینا,هو فضله على الآخرين,اس نے دوسروں پر فضیلت دی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,حَفِظَ,جو حفاظت کی,حفظ,حفاظت، محافظت، یاد داشت,حفاظت کرنا، حفظ کرنا، محفوظ رکھنا,هو حفظ القرآن,اس نے قرآن کی حفاظت کی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يُوَفِّقِ,موافقت پیدا کرے گا,وفق,موافقت، سراپا، ہم آہنگی,موافقت کرنا، مطابقت دیکھنا، توافق کرنا,هو يوفق الامور,وہ معاملات موافقت پیدا کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,مَلَكَتْ,مالک ہو,ملك,مالک، حاکم، سربراہ,مالک بننا، حاکم بننا، سربراہ ہونا,هي ملكت الأرض,وہ زمین کی مالک ہو گئی,فعل ماضی، معروف
4,يُحِبُّ,محبت کرتا,حبب,محبت کرنا، دل بھلانا، پسند کرنا,محبت کرنا، پسند کرنا,يحب الطعام,وہ کھانا پسند کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,كَانَ,کوئی ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,يَكُنِ,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، ہو جانا,هو يكن في المكان,وہ مقام میں ہوتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,يَظْلِمُ,ظلم کرتا,ظلم,ظلم، ظلمت، اندھیرا,ظلم کرنا، ستم کرنا، انصاف نہ کرنا,هو يظلم الناس,وہ لوگوں پر ظلم کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,تَكُ,ہو,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، ہو جانا,أنت تكون في المكان,تم مقام میں ہوتے ہو,فعل مضارع، معروف، مجزوم
4,يَوَدُّ,جائیں گے,ودد,چاہنا، محبت کرنا، خواہش کرنا,چاہنا، خواہش کرنا، محبت کرنا,يود الطالب النجاح في الامتحان,طالب امتحان میں کامیابی کی خواہش کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,تُسَوَّىٰ,برابر کردی جائے,سوي,برابری، مساوات، یکسانی,برابر کرنا، مساوی کرنا، تساوی کرنا,الأمور تسوى بينهم,معاملات ان کے درمیان برابر کردی گئیں,فعل مضارع، مجہول، مرفوع
4,جَآءَ,یا آئے,جيأ,آنا، لانا، پہنچانا,آنا، پہنچنا، موجود ہونا,هو جاء الى المكان,وہ جگہ پر آ گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَ,تم نے دیکھا,رأي,دیکھنا، مشاہدہ کرنا، نظر آنا,دیکھنا، نظر ڈالنا، مشاہدہ کرنا,رأيت الفيلم في السينما,تم نے سینما میں فلم دیکھی,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
4,نَّطْمِسَ,ہم بگاڑ دیں,طمس,مٹانا& ختم کرنا,بگاڑنا، خراب کرنا، مٹانا,نحن نطمس الأشياء القديمة,ہم پرانی چیزوں کو بگاڑ دیں,فعل مضارع، معروف، صیغہ اول جمع، منصوب
4,يَغْفِرُ,بخشے گا,غفر,معاف کرنے والا، بخشنے والا، کشف کرنے والا,معاف کرنا، بخشنا، کسی کو معاف کرنا,هو يغفر للناس,وہ لوگوں کو معاف کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,يُشْرَكَ,شریک کیا جائے,شرك,شرک کرنا، بہت پرستی کرنا، ساتھی بنانا,شریک کرنا، مشترک کرنا، ساتھی بنانا,يشرك في العمل,کام میں شریک کیا جاتا ہے,فعل مضارع، مجہول، صیغہ سوم مذکر واحد، منصوب
4,يَشَآءُ,وہ چاہے گا,شيأ,چیز، شے، مواد,چاہنا، خواہش کرنا، ارادہ کرنا,يشاء الله ما يريد,اللہ وہ چاہتا ہے جو چاہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,يُشْرِكْ,شریک کرے گا,شرك,شرک کرنا، بہت پرستی کرنا، ساتھی بنانا,شریک کرنا، مشترک کرنا، ساتھی بنانا,هو يشرك الناس في العمل,وہ لوگوں کو کام میں شریک کرے گا,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,ٱفْتَرَىٰٓ,اس نے گھڑ لیا,فري,جھوٹ گھڑنا، بناوٹ، فریب,گھڑنا، بنانا، تیار کرنا,هو افترى القصة,اس نے کہانی گھڑ لی,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَ,تم نے دیکھا,رأي,دیکھنا، مشاہدہ کرنا، نظر آنا,دیکھنا، نظر ڈالنا، مشاہدہ کرنا,رأيت الفيلم في السينما,تم نے سینما میں فلم دیکھی,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
4,يُزَكِّى,پاک کرتا ہے,زكو,تزکیہ، صفا کرنا، پاک کرنا,پاک کرنا، صفا کرنا، خالص کرنا,هو يزكي النفوس,وہ روحوں کو پاک کرتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,يَشَآءُ,چاہتا ہے,شيأ,چیز، شے، مواد,چاہنا، خواہش کرنا، ارادہ کرنا,يشاء الله ما يريد,اللہ وہ چاہتا ہے جو چاہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مرفوع
4,ٱنظُرْ,دیکھیے,نظر,دیکھنا، عیان ہونا، پھچاننا,دیکھنا، نظر ڈالنا، مشاہدہ کرنا,انظر الى السماء,آسمان کی طرف دیکھیے,فعل امر، معروف، صیغہ دوم مذکر واحد
4,تَرَ,تم نے دیکھا,رأي,دیکھنا، مشاہدہ کرنا، نظر آنا,دیکھنا، نظر ڈالنا، مشاہدہ کرنا,رأيت الفيلم في السينما,تم نے سینما میں فلم دیکھی,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
4,يَلْعَنِ,لعنت کردے,لعن,لعنت، بد دعا، کوسنا,لعنت کرنا، بد دعا دینا، کوسنا,هو يلعن الظالمين,وہ ظالموں پر لعنت بھیجتا ہے,فعل مضارع، معروف، صیغہ سوم مذکر واحد، مجزوم
4,تَجِدَ,تم پاؤ گے,وجد,پایا، ملا، چھان بین کیا,پانا، ملنا، حاصل کرنا,أنت تجد الحقيقة,تم حقیقت کو پاؤ گے,فعل مضارع، معروف، صیغہ دوم مذکر واحد، منصوب
4,ءَامَنَ,ایمان لایا,أمن,امن، سلامتی، امان,ایمان لانا، بھروسہ کرنا، یقین کرنا,ءَامَنَ بالله ورسوله,اس نے اللہ اور اس کے رسول پر ایمان لایا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,صَدَّ,رک گیا,صدد,روکنا، باز رکھنا، مانع ہونا,روکنا، باز رکھنا، مانع ہونا,هو صد العدو,وہ دشمن کو روک گیا,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,نَضِجَتْ,پک جائیں گی,نضج,بھوننا,پکنا، رس بھرنا، مکمل ہونا,التفاحة نضجت في الشمس,سیب سورج میں پک گیا,فعل ماضی، معروف
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَجْرِى,بہتی ہیں,جري,بہنا& چلنا,بہنا، روانہ ہونا، گزرنا,تَجْرِى الأنهار في الأرض,دریا زمین میں بہتے ہیں,فعل مضارع، معروف، مرفوع
4,كَانَ,ہے,كون,ہونا، موجود ہونا، وجود میں آنا,ہونا، موجود ہونا، وجود میں آنا,كان الوالد في المنزل,والد گھر میں تھے,فعل ماضی، معروف، صیغہ سوم مذکر واحد
4,تَرَ,تم نے دیکھا,رأي,دیکھنا، مشاہدہ کرنا، نظر آنا,دیکھنا، نظر ڈالنا، مشاہدہ کرنا,رأيت الفيلم في السينما,تم نے سینما میں فلم دیکھی,فعل مضارع، معروف، صیغہ دوم مذکر واحد، مجزوم
4,أُنزِلَ,نازل کیا گیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نزول، اترنا، نازل ہونا,القرآن أُنزِلَ في ليلة القدر,قرآن شب قدر میں نازل کیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
4,أُنزِلَ,نازل کیا گیا,نزل,نیچے اتارنا، مہمان نوازی کرنا، ٹھہرنا,نزول، اترنا، نازل ہونا,القرآن أُنزِلَ في ليلة القدر,قرآن شب قدر میں نازل کیا گیا,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
4,قِيلَ,کہا جتا ہے,قول,بیان، اظہار، کہنا,کہنا، بیان کرنا، اظہار کرنا,قِيلَ له: الحق مع الجماعة,اسے کہا گیا: حق جماعت کے ساتھ ہے,فعل ماضی، مجہول، صیغہ سوم مذکر واحد
